GRCODE,GRNAME,AccidentDate,TransactionDate,IncurLoss,CumPaidLoss,EarnedPremNet,PostedReserve97
43,IDS Property Cas Ins Co,32290,32290,607,133,895,73044
43,IDS Property Cas Ins Co,32175,32541,647,333,895,73044
43,IDS Property Cas Ins Co,32206,32937,582,431,895,73044
43,IDS Property Cas Ins Co,32269,33365,598,570,895,73044
43,IDS Property Cas Ins Co,32308,33769,614,615,895,73044
43,IDS Property Cas Ins Co,32374,34201,615,615,895,73044
43,IDS Property Cas Ins Co,32164,34356,615,615,895,73044
43,IDS Property Cas Ins Co,32339,34896,614,614,895,73044
43,IDS Property Cas Ins Co,32482,35404,614,614,895,73044
43,IDS Property Cas Ins Co,32443,35731,614,614,895,73044
43,IDS Property Cas Ins Co,32851,32851,2254,934,3407,73044
43,IDS Property Cas Ins Co,32699,33064,2859,1746,3407,73044
43,IDS Property Cas Ins Co,32602,33332,2979,2365,3407,73044
43,IDS Property Cas Ins Co,32794,33889,2764,2579,3407,73044
43,IDS Property Cas Ins Co,32745,34206,2826,2763,3407,73044
43,IDS Property Cas Ins Co,32567,34393,3017,2966,3407,73044
43,IDS Property Cas Ins Co,32655,34846,2990,2940,3407,73044
43,IDS Property Cas Ins Co,32586,35142,2978,2978,3407,73044
43,IDS Property Cas Ins Co,32716,35638,2978,2978,3407,73044
43,IDS Property Cas Ins Co,33028,33028,5843,2030,5889,73044
43,IDS Property Cas Ins Co,33111,33476,7424,4864,5889,73044
43,IDS Property Cas Ins Co,32878,33608,8307,6880,5889,73044
43,IDS Property Cas Ins Co,32940,34036,8671,8087,5889,73044
43,IDS Property Cas Ins Co,32937,34398,9066,8595,5889,73044
43,IDS Property Cas Ins Co,33161,34987,8926,8743,5889,73044
43,IDS Property Cas Ins Co,33153,35344,8767,8763,5889,73044
43,IDS Property Cas Ins Co,32921,35478,8765,8762,5889,73044
43,IDS Property Cas Ins Co,33457,33457,11422,4537,16784,73044
43,IDS Property Cas Ins Co,33277,33642,16093,11527,16784,73044
43,IDS Property Cas Ins Co,33243,33974,18648,15123,16784,73044
43,IDS Property Cas Ins Co,33309,34405,19095,16656,16784,73044
43,IDS Property Cas Ins Co,33410,34871,18653,17321,16784,73044
43,IDS Property Cas Ins Co,33378,35204,18469,18076,16784,73044
43,IDS Property Cas Ins Co,33247,35439,18407,18308,16784,73044
43,IDS Property Cas Ins Co,33902,33902,19933,7564,27647,73044
43,IDS Property Cas Ins Co,33794,34160,24162,16061,27647,73044
43,IDS Property Cas Ins Co,33627,34358,28739,22465,27647,73044
43,IDS Property Cas Ins Co,33785,34881,28329,25204,27647,73044
43,IDS Property Cas Ins Co,33674,35135,28071,26517,27647,73044
43,IDS Property Cas Ins Co,33812,35639,27722,27124,27647,73044
43,IDS Property Cas Ins Co,34183,34183,24604,8343,35138,73044
43,IDS Property Cas Ins Co,34069,34434,32130,19900,35138,73044
43,IDS Property Cas Ins Co,34004,34734,33575,26732,35138,73044
43,IDS Property Cas Ins Co,34334,35429,32769,30079,35138,73044
43,IDS Property Cas Ins Co,34033,35494,33722,31249,35138,73044
43,IDS Property Cas Ins Co,34470,34470,40735,12565,42605,73044
43,IDS Property Cas Ins Co,34684,35049,43944,26922,42605,73044
43,IDS Property Cas Ins Co,34626,35356,42511,33867,42605,73044
43,IDS Property Cas Ins Co,34547,35643,41712,38338,42605,73044
43,IDS Property Cas Ins Co,34818,34818,43064,13437,47629,73044
43,IDS Property Cas Ins Co,34970,35335,43705,26012,47629,73044
43,IDS Property Cas Ins Co,34907,35638,42909,31677,47629,73044
43,IDS Property Cas Ins Co,35289,35289,41837,12604,46929,73044
43,IDS Property Cas Ins Co,35200,35566,41304,23446,46929,73044
43,IDS Property Cas Ins Co,35571,35571,44436,12292,51845,73044
266,Public Underwriters Grp,32336,32336,63,8,113,24611
266,Public Underwriters Grp,32451,32817,172,72,113,24611
266,Public Underwriters Grp,32172,32903,156,102,113,24611
266,Public Underwriters Grp,32256,33352,149,101,113,24611
266,Public Underwriters Grp,32186,33647,148,119,113,24611
266,Public Underwriters Grp,32474,34301,140,140,113,24611
266,Public Underwriters Grp,32291,34483,143,143,113,24611
266,Public Underwriters Grp,32231,34788,143,143,113,24611
266,Public Underwriters Grp,32356,35278,143,143,113,24611
266,Public Underwriters Grp,32412,35700,143,143,113,24611
266,Public Underwriters Grp,32603,32603,3290,879,5238,24611
266,Public Underwriters Grp,32692,33057,3173,2508,5238,24611
266,Public Underwriters Grp,32525,33255,3446,3236,5238,24611
266,Public Underwriters Grp,32658,33753,3590,3455,5238,24611
266,Public Underwriters Grp,32646,34107,3535,3524,5238,24611
266,Public Underwriters Grp,32691,34517,3532,3525,5238,24611
266,Public Underwriters Grp,32669,34860,3532,3530,5238,24611
266,Public Underwriters Grp,32599,35155,3531,3530,5238,24611
266,Public Underwriters Grp,32864,35786,3535,3534,5238,24611
266,Public Underwriters Grp,32902,32902,8340,2447,12951,24611
266,Public Underwriters Grp,33095,33460,8587,6428,12951,24611
266,Public Underwriters Grp,32884,33614,8916,8087,12951,24611
266,Public Underwriters Grp,33053,34149,8947,8573,12951,24611
266,Public Underwriters Grp,33217,34678,8952,8808,12951,24611
266,Public Underwriters Grp,32943,34769,8897,8940,12951,24611
266,Public Underwriters Grp,33196,35387,8951,8945,12951,24611
266,Public Underwriters Grp,33167,35724,8953,8950,12951,24611
266,Public Underwriters Grp,33559,33559,13903,4195,23732,24611
266,Public Underwriters Grp,33307,33672,14478,10198,23732,24611
266,Public Underwriters Grp,33266,33997,14431,12629,23732,24611
266,Public Underwriters Grp,33268,34364,14365,13662,23732,24611
266,Public Underwriters Grp,33241,34702,14280,14062,23732,24611
266,Public Underwriters Grp,33570,35396,14204,14171,23732,24611
266,Public Underwriters Grp,33246,35438,14209,14192,23732,24611
266,Public Underwriters Grp,33781,33781,12873,3909,20380,24611
266,Public Underwriters Grp,33667,34033,12197,8626,20380,24611
266,Public Underwriters Grp,33854,34585,11888,10814,20380,24611
266,Public Underwriters Grp,33852,34948,11919,11548,20380,24611
266,Public Underwriters Grp,33904,35365,11805,11758,20380,24611
266,Public Underwriters Grp,33867,35694,11955,11941,20380,24611
266,Public Underwriters Grp,34210,34210,16635,4797,22761,24611
266,Public Underwriters Grp,34226,34591,14751,11348,22761,24611
266,Public Underwriters Grp,34278,35008,14804,13548,22761,24611
266,Public Underwriters Grp,34146,35241,14671,14373,22761,24611
266,Public Underwriters Grp,34183,35644,14767,14639,22761,24611
266,Public Underwriters Grp,34605,34605,20728,7366,29882,24611
266,Public Underwriters Grp,34532,34897,21719,16528,29882,24611
266,Public Underwriters Grp,34498,35228,21090,19477,29882,24611
266,Public Underwriters Grp,34603,35699,21428,20642,29882,24611
266,Public Underwriters Grp,34788,34788,25190,9917,38581,24611
266,Public Underwriters Grp,34936,35301,24281,20464,38581,24611
266,Public Underwriters Grp,34930,35661,25574,24230,38581,24611
266,Public Underwriters Grp,35259,35259,17623,6712,33672,24611
266,Public Underwriters Grp,35222,35588,18085,14836,33672,24611
266,Public Underwriters Grp,35653,35653,27108,10045,51265,24611
353,Celina Mut Grp,32331,32331,12705,4339,13996,11598
353,Celina Mut Grp,32323,32689,12990,9617,13996,11598
353,Celina Mut Grp,32295,33026,12728,11584,13996,11598
353,Celina Mut Grp,32255,33351,12730,12001,13996,11598
353,Celina Mut Grp,32211,33672,13020,12640,13996,11598
353,Celina Mut Grp,32357,34184,13077,12966,13996,11598
353,Celina Mut Grp,32462,34654,13098,13058,13996,11598
353,Celina Mut Grp,32157,34714,13181,13080,13996,11598
353,Celina Mut Grp,32217,35139,13178,13182,13996,11598
353,Celina Mut Grp,32501,35789,13178,13183,13996,11598
353,Celina Mut Grp,32511,32511,11245,4445,13501,11598
353,Celina Mut Grp,32768,33133,11379,9090,13501,11598
353,Celina Mut Grp,32708,33438,12109,11125,13501,11598
353,Celina Mut Grp,32568,33663,12220,11815,13501,11598
353,Celina Mut Grp,32860,34321,12344,12027,13501,11598
353,Celina Mut Grp,32682,34508,12541,12078,13501,11598
353,Celina Mut Grp,32772,34963,12624,12626,13501,11598
